studyno,respondentid,country,jobs,unemployment,income,retirement,housing,healthcare,cntry,year,emprate,foreignpct,netmig,pop,socx
2900,100001,Australia,1,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100002,Australia,1,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100003,Australia,0,0,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100004,Australia,1,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100006,Australia,0,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100007,Australia,0,0,0,1,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100008,Australia,0,0,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100009,Australia,0,0,0,0,0,0,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100010,Australia,0,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100011,Australia,0,1,1,1,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100012,Australia,1,1,1,1,1,0,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100013,Australia,1,0,0,1,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100014,Australia,0,0,0,1,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100015,Australia,1,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100017,Australia,0,1,0,1,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100018,Australia,0,0,0,0,0,0,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100019,Australia,0,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100020,Australia,0,0,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100021,Australia,1,0,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100023,Australia,0,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100025,Australia,0,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100026,Australia,0,0,0,0,0,0,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100027,Australia,1,0,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100028,Australia,0,1,0,1,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100029,Australia,0,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100030,Australia,1,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100032,Australia,1,0,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100033,Australia,1,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100034,Australia,0,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100035,Australia,0,0,0,0,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100036,Australia,1,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100037,Australia,1,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100038,Australia,0,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100039,Australia,0,0,1,0,0,0,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100040,Australia,1,0,1,1,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100041,Australia,0,1,0,0,0,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100042,Australia,1,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100044,Australia,0,0,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100045,Australia,0,1,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100046,Australia,0,0,0,1,0,0,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100047,Australia,0,0,1,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100049,Australia,0,0,0,0,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100050,Australia,1,1,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
2900,100051,Australia,0,0,0,1,1,1,36,1996,68.38308,21.299999,234016,18072000,16.6
